Hechos Intradía,,,,,,
,,,,,,
"Razón Social: TV AZTECA, S.A.B. DE C.V.",,,,,,
Ticker: AZTECA,,,,,,
Serie: CPO,,,,,,
Fecha Inicial: 6/30/2014,,,,,,
Fecha Final: 7/5/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
6/30/2014,2:37:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:37:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:37:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:37:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:37:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:37:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.35,735
6/30/2014,2:37:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.35,735
6/30/2014,2:38:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:38:00 PM,MERRILL LYNCH,ACTINVER CASA DE BOLSA,400,7.36,2944
6/30/2014,2:38:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:38:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:38:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:38:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:38:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,144,7.35,1058.4
6/30/2014,2:38:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:38:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,156,7.35,1146.6
6/30/2014,2:38:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.35,1470
6/30/2014,2:38:00 PM,MERRILL LYNCH,GRUPO BURSATIL MEXICANO,156,7.35,1146.6
6/30/2014,2:38:00 PM,MERRILL LYNCH,GRUPO BURSATIL MEXICANO,400,7.35,2940
6/30/2014,2:38:00 PM,MERRILL LYNCH,GRUPO BURSATIL MEXICANO,400,7.35,2940
